"year","Land.emissions","Total.Emissions.GTCO2.per.year","damages","DF","r"
2015,0.1,0.100000000000001,0.152399999961972,1,0.0509855006
2020,0,3.36009999557518e-06,0.415315999902077,0.779859518657929,0.0498480034
2025,0,2.44499999979553e-06,0.916030999889017,0.611482798199359,0.0487314893
2030,0,-1.64229999910503e-06,1.66019599987521,0.482017385218921,0.0476452771
2035,0,-8.05060000175217e-06,2.65321600011248,0.381936712049353,0.0465931553
2040,0,-1.61246000018878e-05,3.89989700011029,0.30415989837645,0.0455761072
2045,0,-2.53556000018307e-05,5.40394500006869,0.243401753124091,0.0445937738
2050,0,-3.53404000037472e-05,7.16727099984382,0.195698067577588,0.0436452228
2055,0,-4.57521999948085e-05,9.18952399985073,0.158060040793449,0.0427293389
2060,0,-5.63207999988435e-05,11.4683560002504,0.12822246543633,0.0418450095
2065,0,-6.68136000001596e-05,13.9981670002953,0.104459644694984,0.0409912036
2070,0,-7.70341999896118e-05,16.7713169997796,0.0854502319033775,0.0401669989
2075,0,-8.68136999940816e-05,19.7777259995746,0.0701774997105319,0.0393715888
2080,0,-9.60100000071407e-05,23.0053699999644,0.0578553712700036,0.0386042899
2085,0,-0.000104506200003129,26.4405349997787,0.0478732734516136,0.0378645669
2090,0,-0.000112210899999354,30.0683309995975,0.0397548114870622,0.0371520956
2095,0,-0.00011905809999746,33.872884999937,0.0331266449078378,0.0364668952
2100,0,-0.000125006800004712,37.8370600003564,0.0276949302797181,0.0358162067
2105,0,-0.000130045399998835,41.9358090005062,0.0232266602346666,0.0351954054
2110,0,-0.00013408879999588,46.1477069995908,0.0195377742897089,0.0346014144
2115,0,-0.000137107300005823,50.4556079999929,0.0164819938995286,0.034032077
2120,0,-0.000139103500004012,54.8418380003568,0.0139424691529523,0.0334857904
2125,0,-0.000140113200004066,59.2963140002212,0.0118254354884541,0.0329612907
2130,0,-0.000140176599998654,63.8073580000764,0.0100553434319957,0.032457526
2135,0,-0.000139346300002785,68.3666450004239,0.00857108764835851,0.0319735825
2140,0,-0.000137678200005098,72.9645789999722,0.00732306749021351,0.0315086393
2145,0,-0.000135237200005633,77.5973290001275,0.00627088285931842,0.0310619425
2150,0,-0.000132082599996863,82.259983998938,0.00538151931676362,0.0306327896
2155,0,-0.000128273400001433,86.9498849988304,0.00462791236277049,0.0302205192
2160,0,-0.000123865500000875,91.6655070000161,0.0039878071558653,0.029824505
2165,0,-0.000118910699995922,96.4039240011516,0.00344284950806792,0.0294441517
2170,0,-0.000113460199997917,101.168312000937,0.00297785869588247,0.0290788912
2175,0,-0.000107556199999692,105.956547999995,0.00258024376057005,0.0287281784
2180,0,-0.000101241099997651,110.768199999711,0.00223953346655293,0.0283914861
2185,0,-9.45545999968544e-05,115.616593000141,0.00194699660463304,0.0280682959
2190,0,-8.7519099999156e-05,120.495460000711,0.0016953343527727,0.027758084
2195,0,-8.01635000016176e-05,125.407544999234,0.00147843030049007,0.0274602949
2200,0,-7.25124999974014e-05,130.3717650012,0.00129114677444715,0.027174297
2205,0,-6.45748999978935e-05,135.364836000917,0.00112915847160157,0.0268993019
2210,0,-5.63751999997919e-05,140.419269000631,0.000988816270965466,0.0266342238
2215,0,-4.7915199999693e-05,145.52447999904,0.00086703557108631,0.0263774284
2220,0,-3.92020999981924e-05,150.691784997434,0.000761204683876529,0.0261262901
2225,0,-3.02349999987683e-05,155.923613001505,0.000669109780991119,0.0258764118
2230,0,-2.10105999993715e-05,161.194536999574,0.000588873699282557,0.0256202528
2235,0,-1.15225000003605e-05,166.536321999047,0.000518906626635846,0.0257693351
2240,0,2.57816999997829e-05,172.478857998613,0.000456920514837715,0.0255258476
2245,0,2.5139599999946e-05,178.421153000272,0.00040281682593618,0.025314055
2250,0,2.44725999998252e-05,184.392679002485,0.000355486448384922,0.0251160491
2255,0,2.38018999993983e-05,190.435312001682,0.000314020416557494,0.0249227661
2260,0,2.31385999995837e-05,196.580874999199,0.000277652881681018,0.0247300279
2265,0,2.24864000006875e-05,202.864943003078,0.000245728128012774,0.0245362708
2270,0,2.1842399998917e-05,209.201488000872,0.0002176798263056,0.0243412632
2275,0,2.12138000001971e-05,215.644237000561,0.00019301668127835,0.0241453955
2280,0,2.05987000008179e-05,222.267597000609,0.000171311595664894,0.0239492991
2285,0,1.99858999998526e-05,228.692493997187,0.000152192935887503,0.0237536526
2290,0,1.94055999998e-05,235.456663999685,0.000135337195797716,0.0235590883
2295,0,1.88284000000039e-05,242.328538001857,0.000120462696286105,0.0233661562
2300,0,1.82497000000836e-05,248.915550000675,0.000107324118007096,0.0231753148
2305,0,1.77005999990598e-05,255.75902699984,9.57077395948591e-05,0.0229869355
2310,0,1.71612000006149e-05,262.54267800141,8.54272885868185e-05,0.0228013133
2315,0,1.66389000000322e-05,269.474984002045,7.63203296011116e-05,0.0226186785
2320,0,1.61238000000452e-05,276.434769002663,6.82451247876218e-05,0.022439208
2325,0,1.56153000006043e-05,283.392156998161,6.1077908350219e-05,0.0222630366
2330,0,1.51144000000158e-05,290.113211995049,5.47105231562144e-05,0.0220902666
2335,0,1.46367000004588e-05,297.158471994408,4.9048372919981e-05,0.0219209786
2340,0,1.41614999993322e-05,304.085335001218,4.40086485082776e-05,0.0217552423
2345,0,1.36953999998468e-05,310.855601001094,3.95187918059296e-05,0.021593132
2350,0,1.32459999999668e-05,317.692070993871,3.55151649201017e-05,0.0214347476
2355,0,1.28086000001915e-05,324.525538007947,3.19418963966805e-05,0.0212802498
2360,0,1.23816999995086e-05,331.204127996898,2.87498795992566e-05,0.0211299168
2365,0,1.1971000000166e-05,338.240569999471,2.58959011837984e-05,0.0209842435
2370,0,1.1559000000716e-05,344.810287997461,2.33418798982702e-05,0.0208441107
2375,0,1.11638999999997e-05,351.262457998018,2.10541974672518e-05,0.0207110807
2380,0,1.07879999999838e-05,358.302027998434,1.90031039746915e-05,0.0205879123
2385,0,1.04076000004838e-05,364.537451996512,1.71621796245221e-05,0.020479461
2390,0,1.00502000002223e-05,371.149319998949,1.55078325238916e-05,0.0203942602
2395,0,9.70100000063923e-06,377.557386000262,1.40188073396926e-05,0.0203473093
2400,0,9.36609999957483e-06,384.160067997072,1.26756707381964e-05,0.0203650426
2405,0,9.0397000001019e-06,390.530324002611,1.14602236330435e-05,0.0204943279
2410,0,8.73019999936275e-06,397.085386994149,1.0354761891279e-05,0.0137630878
2415,0,8.43719999998882e-06,397.517321998748,9.67069633381611e-06,0.0213285929
2420,0,8.15290000000246e-06,405.346368997925,8.70222471591414e-06,0.0207148326
2425,0,7.8720999998616e-06,412.599496003168,7.85431228843898e-06,0.0202566893
2430,0,7.59669999972346e-06,419.417061002605,7.10494810790281e-06,0.0199061811
2435,0,7.32779999967903e-06,425.898400999358,6.43813073170429e-06,0.01963094
2440,0,7.06600000022206e-06,432.113949000268,5.84177417176685e-06,0.019408839
2445,0,6.81170000005338e-06,438.113676000285,5.30643427682112e-06,0.0192246044
2450,0,6.56510000007771e-06,443.933028000174,4.82451092276176e-06,0.019067617
2455,0,6.32630000030332e-06,449.597128999812,4.38973484378344e-06,0.0189478691
2460,0,-3.04764999992102e-05,455.122577004659,3.99648751804721e-06,0
